Company Name,Category,Sector,Share Price,Market Cap (in crores),Source,Lot Size,Min. Qty.,ISIN,Special Comment,Sell Price Rupeess
Kannur International Airport Limited,Unlisted,Airport,93.00,"1,244.453",https://wwipl.com/,,,,,
Gandhar Oil Refinery India Limited,Unlisted,"Energy, Oil & Gas",300.00,"1,221.699",https://wwipl.com/,,,,,
Afcons Infrastructure Limited,Unlisted,Construction,34.00,"1,158.510",https://wwipl.com/,,,,,
India Exposition Mart Limited,Pre IPO,Other,135.00,"1,004.733",https://wwipl.com/,,,,,
SMC Global Securities Limited,Illiquid/unquoted,Financial Service,88.00,995.583,https://wwipl.com/,,,,,
Ambadi Investments Limited,Unlisted,Investment & Holding,"4,000.00",977.209,https://wwipl.com/,,,,,
Infrastructure Leasing And Financial Services Ltd,Unlisted,Infrastructure,70.00,898.823,https://wwipl.com/,,,,,
A V Thomas And Company Limited,Unlisted,"Tea, Coffee & Plantation","16,750.00",787.585,https://wwipl.com/,,,,,
Maharaja Shree Umaid Mills Limited,Delisted,"Textiles, Yarn, Cotton & Spinning",125.00,743.606,https://wwipl.com/,,,,,
Kanara Consumer Products Ltd,Unlisted,Household Products,490.00,729.248,https://wwipl.com/,,,,,
Dalmia Bharat Refractories Limited,Illiquid/unquoted,"Metal, Steel & Iron",148.00,654.162,https://wwipl.com/,,,,,
Orissa Sponge Iron And Steel Limited,Suspended,"Metal, Steel & Iron",219.00,652.401,https://wwipl.com/,,,,,
Vanaz Engineers Limited,Unlisted,Auto Ancillaries,"3,000.00",647.316,https://wwipl.com/,,,,,
Lakeshore Hospital And Research Centre Limited,Unlisted,Hospital,64.00,640.000,https://wwipl.com/,,,,,
Sital Leasing And Finance Limited,Illiquid/unquoted,Financial Service,10.00,612.574,https://wwipl.com/,,,,,
Carol Info Services Limited,Delisted,"IT, Software",171.00,605.964,https://wwipl.com/,,,,,
Sri Sarvaraya Sugars Limited,Illiquid/unquoted,Sugar,"1,920.00",585.232,https://wwipl.com/,,,,,
Essel Mining and Industries Limited,Unlisted,Mining & Minerals,2.90,576.605,https://wwipl.com/,,,,,
Axles India Limited,Unlisted,Auto Ancillaries,225.00,573.540,https://wwipl.com/,,,,,
Deepak Industries Limited,Unlisted,Auto Components,"1,400.00",553.901,https://wwipl.com/,,,,,
Trident India Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",1.10,549.939,https://wwipl.com/,,,,,
Jolly Board Limited,Unlisted,Forestry & Wood,"12,000.00",545.604,https://wwipl.com/,,,,,
Transformers And Electricals Kerala Limited,Delisted,Electric Equipment,125.00,537.092,https://wwipl.com/,,,,,
Elofic Industries Limited,Unlisted,Auto Ancillaries,"2,100.00",526.758,https://wwipl.com/,,,,,
Alba Polymers Limited,Illiquid/unquoted,Service,350.00,514.946,https://wwipl.com/,,,,,
Roots Multiclean Limited,Unlisted,Other,"2,520.00",504.000,https://wwipl.com/,,,,,
Parry Agro Industries Limited,Delisted,Agro Products,"1,200.00",450.818,https://wwipl.com/,,,,,
Martin And Harris Laboratories Limited,Unlisted,Pharma,"1,080.00",431.572,https://wwipl.com/,,,,,
Metropolitan Stock Exchange Of India Limited,Unlisted,Financial Service,0.86,414.107,https://wwipl.com/,,,,,
Jana Small Finance Bank Limited,Unlisted,Financial Service,75.00,412.340,https://wwipl.com/,,,,,
Frick India Limited,Illiquid/unquoted,Auto Ancillaries,"6,700.00",401.983,https://wwipl.com/,,,,,
Lotte India Corporation Limited,Delisted,Other,350.00,380.232,https://wwipl.com/,,,,,
Midland Microfin Limited,Unlisted,Financial Service,104.00,374.192,https://wwipl.com/,,,,,
Balmer Lawrie Van Leer Limited,Unlisted,Packaging,199.00,357.699,https://wwipl.com/,,,,,
Credo Mineral Industries Limited,Unlisted,Mining & Minerals,54.00,354.710,https://wwipl.com/,,,,,
Ganga Care Hospital Limited,Unlisted,Healthcare,298.00,353.503,https://wwipl.com/,,,,,
Akme Fintrade India Limited,Unlisted,NBFC,110.00,348.425,https://wwipl.com/,,,,,
Hira Ferro Alloys Limited,Delisted,"Metal, Steel & Iron",150.00,347.828,https://wwipl.com/,,,,,
Honeywell Electrical Devices And Systems India Limited,Unlisted,Electric Equipment,"3,600.00",342.590,https://wwipl.com/,,,,,
Xerox India Limited,Delisted,Office Automation,74.10,332.027,https://wwipl.com/,,,,,
U P Electricals Limited,Illiquid/unquoted,Electricals,172.65,317.900,https://wwipl.com/,,,,,
Ring Plus Aqua Limited,Unlisted,Auto Components,405.00,314.145,https://wwipl.com/,,,,,
Blossom Industries Limited,Unlisted,Breweries & Distilleries,85.00,313.579,https://wwipl.com/,,,,,
Turanth Suraksha Insurance Web Aggregator Private Limited,Unlisted,Financial Service,700.00,308.147,https://wwipl.com/,,,,,
Maharashtra Knowledge Corporation Limited,Unlisted,Education,380.00,307.047,https://wwipl.com/,,,,,
Rasoi Limited,Delisted,FMCG,"31,500.00",304.290,https://wwipl.com/,,,,,
Godavari Biorefineries Limited,Pre IPO,Miscellaneous,71.00,297.795,https://wwipl.com/,,,,,
Eaton Fluid Power Limited,Unlisted,Power & Electricity,425.00,295.800,https://wwipl.com/,,,,,
Gannon Dunkerley and Co Limited,Unlisted,Other,"1,100.00",295.680,https://wwipl.com/,,,,,
Indian Commodity Exchange Limited,Unlisted,Financial Service,4.00,294.400,https://wwipl.com/,,,,,
Moneytech Finlease Limited,Illiquid/unquoted,Financial Service,372.00,286.280,https://wwipl.com/,,,,,
Eastern Investments Limited,Illiquid/unquoted,Financial Service,"2,000.00",283.791,https://wwipl.com/,,,,,
ETA Karnataka Estates Limited,Unlisted,"Textiles, Yarn, Cotton & Spinning",130.00,279.583,https://wwipl.com/,,,,,
Capricon Realty Limited,Unlisted,Real Estate,"300,006.00",269.915,https://wwipl.com/,,,,,
Verum Properties Limited,Illiquid/unquoted,Real Estate,391.25,258.127,https://wwipl.com/,,,,,
Schneider Electric President Systems Limited,Delisted,Electric Equipment,425.00,257.040,https://wwipl.com/,,,,,
Hella India Lighting Limited,Unlisted,Auto Components,810.00,256.883,https://wwipl.com/,,,,,
Panasonic Appliances India Company Limited,Delisted,Household Products,202.00,256.070,https://wwipl.com/,,,,,
Garg Acrylics Limited,Illiquid/unquoted,Miscellaneous,383.75,254.917,https://wwipl.com/,,,,,
San Engineering And Locomotive Company Limited,Unlisted,Auto Components,550.00,244.750,https://wwipl.com/,,,,,
India Carbon Limited,Unlisted,Chemical,900.00,238.500,https://wwipl.com/,,,,,
AMNS Ports India Limited,Unlisted,Shipping,35.10,231.956,https://wwipl.com/,,,,,
NCL Buildtek Limited,Unlisted,Building Materials,200.00,231.400,https://wwipl.com/,,,,,
UP Twiga Fiberglass Limited,Unlisted,Other,280.00,222.343,https://wwipl.com/,,,,,
Mcnally Sayaji Engineering Limited,Illiquid/unquoted,Equipment,175.00,220.312,https://wwipl.com/,,,,,
Hindusthan Engineering And Industries Limited,Unlisted,Other,144.00,216.011,https://wwipl.com/,,,,,
Inkel Limited,Unlisted,Infrastructure,12.00,213.377,https://wwipl.com/,,,,,
Wintac Limited,Delisted,Pharma,207.00,207.502,https://wwipl.com/,,,,,
IHP Finvest Limited,Unlisted,Financial Service,"3,600.00",205.122,https://wwipl.com/,,,,,
Malayalam Communications Limited,Unlisted,Entertainment,"25,000.00",197.280,https://wwipl.com/,,,,,
Berar Finance Limited,Delisted,Financial Service,155.00,191.221,https://wwipl.com/,,,,,
Nayara Energy Limited 8 NCD 15DC25 FVRS350,Delisted,"Energy, Oil & Gas",255.00,187.125,https://wwipl.com/,,,,,
Pharmed Limited,Delisted,Healthcare,430.00,185.167,https://wwipl.com/,,,,,
T Stanes and Company Limited,Unlisted,Hotel or Catering,770.00,182.196,https://wwipl.com/,,,,,
Resins and Plastics Limited,Illiquid/unquoted,Other,415.00,173.150,https://wwipl.com/,,,,,
Gujarat NRE Coke Limited,Suspended,Other,1.00,165.094,https://wwipl.com/,,,,,
Bagrrys India Private Limited,Unlisted,FMCG,"2,100.00",161.618,https://wwipl.com/,,,,,
Empire Spices and Foods Limited,Unlisted,FMCG,329.00,159.257,https://wwipl.com/,,,,,
