Company Name,Category,Sector,Share Price,Market Cap (in crores),Source,Lot Size,Min. Qty.,ISIN,Special Comment,Sell Price Rupeess
Impala Industrial Enterprises Limited,Illiquid/unquoted,Financial Service,1,1.155,https://wwipl.com/,,,,,
Abhinandan Enterprises Limited,Illiquid/unquoted,Financial Service,10,1.155,https://wwipl.com/,,,,,
Avail Holding Limited,Illiquid/unquoted,Real Estate,10,1.15,https://wwipl.com/,,,,,
Devrup Trading Limited,Illiquid/unquoted,Financial Service,10,1.13,https://wwipl.com/,,,,,
Technofab Engineering Ltd,Suspended,Engineering,1,1.101,https://wwipl.com/,,,,,
Nawratan Arts Limited,Illiquid/unquoted,Trading,10,1.1,https://wwipl.com/,,,,,
Basant India Limited,Illiquid/unquoted,Financial Service,1,1.083,https://wwipl.com/,,,,,
Blue Blends India Limited,Suspended,"Textiles, Yarn, Cotton & Spinning",1,1.083,https://wwipl.com/,,,,,
Shri Gurudev En Trade Limited,Illiquid/unquoted,Financial Service,10,1.076,https://wwipl.com/,,,,,
PB Global Limited,Delisted,Pesticides,10,1.05,https://wwipl.com/,,,,,
The Southern Gas Limited,Unlisted,GAS,451,1.015,https://wwipl.com/,,,,,
Bhairav Enterprises Limited,Illiquid/unquoted,Financial Service,10,1,https://wwipl.com/,,,,,
Fortune Industrial Resources Limited,Illiquid/unquoted,Financial Service,10,1,https://wwipl.com/,,,,,
Rishabh Enterprises Limited,Illiquid/unquoted,Financial Service,10,1,https://wwipl.com/,,,,,
Shreyans Financial And Capital Services Limited,Illiquid/unquoted,Financial Service,10,1,https://wwipl.com/,,,,,
SNS Properties And Leasing Limited,Illiquid/unquoted,Real Estate,10,1,https://wwipl.com/,,,,,
Skyweb Infotech Limited,Illiquid/unquoted,"IT, Software",10,1,https://wwipl.com/,,,,,
Premium Merchants Limited,Illiquid/unquoted,Trading,10,0.998,https://wwipl.com/,,,,,
Dhaval Exports Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",10,0.996,https://wwipl.com/,,,,,
Infinium Precious Resources Limited,Illiquid/unquoted,Precious Metals,1,0.961,https://wwipl.com/,,,,,
Porsche Capital Market Limited,Illiquid/unquoted,Financial Service,1,0.948,https://wwipl.com/,,,,,
Teesta Valley Tea Company Limited,Unlisted,Agriculture & Agro Products,63,0.945,https://wwipl.com/,,,,,
Winmore Leasing And Holdings Limited,Illiquid/unquoted,Investment & Holding,9,0.919,https://wwipl.com/,,,,,
Emrald Commercial Limited,Illiquid/unquoted,Financial Service,0,0.916,https://wwipl.com/,,,,,
Associated Finman Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",10,0.905,https://wwipl.com/,,,,,
Arcuttipore Tea Company Limited,Delisted,"Tea, Coffee & Plantation",2,0.903,https://wwipl.com/,,,,,
Reliance Infotek Limited,Illiquid/unquoted,Trading,1,0.9,https://wwipl.com/,,,,,
NMS Resources Global Limited,Illiquid/unquoted,Service,3,0.857,https://wwipl.com/,,,,,
N K Textile Industries Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",10,0.84,https://wwipl.com/,,,,,
Newage Marketing Limited,Illiquid/unquoted,Healthcare,10,0.836,https://wwipl.com/,,,,,
The Arya Vaidya Pharmacy coimbatore Limited,Unlisted,Pharma,1,0.823,https://wwipl.com/,,,,,
Molind Engineering Limited,Illiquid/unquoted,Engineering,3,0.811,https://wwipl.com/,,,,,
Abhishek Corporation Limited,Suspended,"Textiles, Yarn, Cotton & Spinning",1,0.8,https://wwipl.com/,,,,,
Priya International Limited,Illiquid/unquoted,"IT, Software",8,0.747,https://wwipl.com/,,,,,
Shree Vijay Industries Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",10,0.743,https://wwipl.com/,,,,,
Atlantic Commercial Company Limited,Illiquid/unquoted,Miscellaneous,10,0.735,https://wwipl.com/,,,,,
Sunita Bonds and Holdings Limited,Illiquid/unquoted,Investment & Holding,10,0.695,https://wwipl.com/,,,,,
Gaylord Commercial Company Limited,Illiquid/unquoted,Financial Service,10,0.64,https://wwipl.com/,,,,,
Apeejay Tea Limited,Delisted,"Tea, Coffee & Plantation",101,0.621,https://wwipl.com/,,,,,
Castle Traders Limited,Illiquid/unquoted,Financial Service,25,0.613,https://wwipl.com/,,,,,
MVL Limited,Suspended,Real Estate,0,0.601,https://wwipl.com/,,,,,
Gitanjali Gems Limited,Suspended,Miscellaneous,0,0.573,https://wwipl.com/,,,,,
Shilpi Cable Technologies Limited,Delisted,Cables,0,0.553,https://wwipl.com/,,,,,
Supreme Commercial Enterprises Limited,Illiquid/unquoted,Financial Service,10,0.536,https://wwipl.com/,,,,,
KSK Energy Ventures Limited,Suspended,Power & Electricity,0,0.424,https://wwipl.com/,,,,,
DQ Entertainment  International Limited,Suspended,Entertainment,0,0.396,https://wwipl.com/,,,,,
Kabirdas Investments Limited,Illiquid/unquoted,Financial Service,1,0.396,https://wwipl.com/,,,,,
Bhagheeratha Engineering Ltd,Delisted,Construction,1,0.391,https://wwipl.com/,,,,,
Usher Agro Limited,Delisted,Agriculture & Agro Products,0,0.388,https://wwipl.com/,,,,,
TECIL Chemicals And Hydro Power Ltd,Suspended,Chemical,0,0.379,https://wwipl.com/,,,,,
Flare Finance India Limited,Illiquid/unquoted,Financial Service,0,0.371,https://wwipl.com/,,,,,
Online Information Technologies Limited,Illiquid/unquoted,"IT, Software",0,0.319,https://wwipl.com/,,,,,
Entegra Limited,Delisted,Power & Electricity,0,0.317,https://wwipl.com/,,,,,
Rathi Steel and Power Limited,Delisted,"Metal, Steel & Iron",0,0.313,https://wwipl.com/,,,,,
P K Leasing And Finance Limited,Illiquid/unquoted,Financial Service,1,0.311,https://wwipl.com/,,,,,
Twenty First  Century Securities Limited,Illiquid/unquoted,Service,1,0.301,https://wwipl.com/,,,,,
S Kumars Nationwide Limited,Delisted,"Textiles, Yarn, Cotton & Spinning",0,0.297,https://wwipl.com/,,,,,
Abacus Computers Limited,Delisted,"IT, Software",1,0.285,https://wwipl.com/,,,,,
SRS Limited,Suspended,Miscellaneous,0,0.279,https://wwipl.com/,,,,,
Jord Engineers India Limited,Delisted,Engineering,0,0.276,https://wwipl.com/,,,,,
Besta Vision Electronics Limited,Illiquid/unquoted,Electric Equipment,0,0.271,https://wwipl.com/,,,,,
VHCL Industries Limited,Delisted,Metal,0,0.257,https://wwipl.com/,,,,,
Bharati Defence and Infrastructure Limited,Suspended,Shipping,0,0.251,https://wwipl.com/,,,,,
Morn Media Limited,Illiquid/unquoted,Publication,5,0.251,https://wwipl.com/,,,,,
Lacy Limited,Illiquid/unquoted,FMCG,5,0.248,https://wwipl.com/,,,,,
SEMAYA LIMITED,Illiquid/unquoted,Financial Service,10,0.248,https://wwipl.com/,,,,,
Anus Laboratories Limited,Delisted,Pharma,0,0.242,https://wwipl.com/,,,,,
Moser Baer Limited,Delisted,Renewable Energy,0,0.222,https://wwipl.com/,,,,,
Bilpower Limited,Delisted,"Metal, Steel & Iron",0,0.21,https://wwipl.com/,,,,,
The Tropical Plantations Limited,Unlisted,"Tea, Coffee & Plantation",10,0.2,https://wwipl.com/,,,,,
Resurgere Mines and Minerals Limited,Suspended,Mining & Minerals,0,0.199,https://wwipl.com/,,,,,
Girdharilal Sugar and Allied Industries,Delisted,FMCG,0,0.192,https://wwipl.com/,,,,,
Pochiraju Industries Limited,Delisted,Miscellaneous,0,0.189,https://wwipl.com/,,,,,
Cox and Kings Financial Service Limited,Suspended,Financial Service,0,0.177,https://wwipl.com/,,,,,
Euro Ceramics Limited,Suspended,Ceramics & Granite,0,0.169,https://wwipl.com/,,,,,
Best and Crompton Engineering Limited,Delisted,Engineering,0,0.161,https://wwipl.com/,,,,,
Talwalkars Healthclubs Limited,Suspended,Healthcare,0,0.155,https://wwipl.com/,,,,,
Nu Tek India Ltd,Suspended,Telecomm,0,0.155,https://wwipl.com/,,,,,
Atcom Technologies Limited,Suspended,Electronics,0,0.153,https://wwipl.com/,,,,,
Laffan Software Limited,Illiquid/unquoted,"IT, Software",0,0.152,https://wwipl.com/,,,,,
SM Dyechem Limited,Delisted,Dyes & Pigment,0,0.148,https://wwipl.com/,,,,,
Eastern Sugar And Industries Ltd,Suspended,Sugar,0,0.146,https://wwipl.com/,,,,,
Shirpur Gold Refinery Limited,Suspended,Mining & Minerals,0,0.146,https://wwipl.com/,,,,,
Winsome Yarns Limited,Suspended,"Textiles, Yarn, Cotton & Spinning",0,0.141,https://wwipl.com/,,,,,
Namaste Exports Limited,Delisted,"Textiles, Yarn, Cotton & Spinning",0,0.137,https://wwipl.com/,,,,,
Surana Industries Limited,Delisted,Trading,0,0.134,https://wwipl.com/,,,,,
Logic Infotech Limited,Illiquid/unquoted,Financial Service,0,0.132,https://wwipl.com/,,,,,
Autoriders Finance Ltd,Delisted,Financial Service,0,0.131,https://wwipl.com/,,,,,
Rakan Steels Limited,Illiquid/unquoted,"Metal, Steel & Iron",0,0.13,https://wwipl.com/,,,,,
The Kohinoor Tea Co Limited,Unlisted,"Tea, Coffee & Plantation",110,0.129,https://wwipl.com/,,,,,
PSL Limited,Suspended,"Metal, Steel & Iron",0,0.125,https://wwipl.com/,,,,,
Zicom Electronic Security Systems Ltd,Suspended,Electronics,0,0.124,https://wwipl.com/,,,,,
Hanung Toys and Textiles Limited,Delisted,"Textiles, Yarn, Cotton & Spinning",0,0.123,https://wwipl.com/,,,,,
Euro Multivision Limited,Suspended,Miscellaneous,0,0.119,https://wwipl.com/,,,,,
XL Energy Limited,Suspended,Renewable Energy,0,0.114,https://wwipl.com/,,,,,
ABG Shipyard Limited,Delisted,Shipping,0,0.108,https://wwipl.com/,,,,,
Macor Packaging Limited,Illiquid/unquoted,Transport,2,0.105,https://wwipl.com/,,,,,
Consolidated Fibres And Chemicals Limited,Delisted,Chemical,0,0.104,https://wwipl.com/,,,,,
Padmini Technologies Limited,Delisted,Plastic,0,0.103,https://wwipl.com/,,,,,
Arihant Classic Finance Limited,Illiquid/unquoted,Financial Service,0,0.101,https://wwipl.com/,,,,,
First Winner Industries Limited,Delisted,"Textiles, Yarn, Cotton & Spinning",0,0.1,https://wwipl.com/,,,,,
Pushpanjali Realms and Infratech Limited,Suspended,Real Estate,0,0.1,https://wwipl.com/,,,,,
Naraingarh Sugar Mills Limited,Delisted,Sugar,0,0.095,https://wwipl.com/,,,,,
STI India Ltd,Suspended,"Textiles, Yarn, Cotton & Spinning",0,0.087,https://wwipl.com/,,,,,
Samtel Color Limited,Delisted,Electricals,0,0.085,https://wwipl.com/,,,,,
Dolphin Offshore Enterprises india limited,Suspended,"Energy, Oil & Gas",0,0.084,https://wwipl.com/,,,,,
LML Limited,Delisted,Auto Components,0,0.082,https://wwipl.com/,,,,,
Sree Maruthi Marine Industries Limited,Illiquid/unquoted,FMCG,1,0.082,https://wwipl.com/,,,,,
Delta Impex Limited,Illiquid/unquoted,Financial Service,2,0.081,https://wwipl.com/,,,,,
Value Industries Limited,Suspended,FMCG,0,0.078,https://wwipl.com/,,,,,
Vimal Oil And Foods Limited,Suspended,Food & Beverages,0,0.075,https://wwipl.com/,,,,,
Vikash Metal And Power Limited,Delisted,Metal,0,0.071,https://wwipl.com/,,,,,
Supreme Tex Mart Limited,Delisted,"Textiles, Yarn, Cotton & Spinning",0,0.068,https://wwipl.com/,,,,,
Todays Writing Instruments Limited,Delisted,FMCG,0,0.064,https://wwipl.com/,,,,,
Hind Syntex Limited,Suspended,"Textiles, Yarn, Cotton & Spinning",0,0.064,https://wwipl.com/,,,,,
Talwalkars Better Value Fitness Limited,Suspended,Healthcare,0,0.062,https://wwipl.com/,,,,,
Nextgen Animation Mediaa Limited,Delisted,Media,0,0.062,https://wwipl.com/,,,,,
Zylog Systems Limited,Suspended,"IT, Software",0,0.059,https://wwipl.com/,,,,,
Tulsi Extrusions Limited,Suspended,Plastic,0,0.055,https://wwipl.com/,,,,,
Allsoft Corporation Limited,Delisted,Trading,0,0.051,https://wwipl.com/,,,,,
Nijjer Agro Foods Limited,Delisted,Agro Products,0,0.051,https://wwipl.com/,,,,,
Lamina Foundries Limited,Unlisted,Auto Components,0,0.051,https://wwipl.com/,,,,,
Regency World Consulting Limited,Illiquid/unquoted,Media,1,0.05,https://wwipl.com/,,,,,
Surana Corporation Limited,Delisted,"Metal, Steel & Iron",0,0.049,https://wwipl.com/,,,,,
ITL Finlease and Securities Limited,Illiquid/unquoted,Financial Service,0,0.048,https://wwipl.com/,,,,,
Ancient Leasing Finance and Investment Co Limited,Illiquid/unquoted,Financial Service,0,0.046,https://wwipl.com/,,,,,
Servalakshmi Paper Limited,Delisted,Paper,0,0.043,https://wwipl.com/,,,,,
Zigma Software Limited,Delisted,"IT, Software",0,0.042,https://wwipl.com/,,,,,
Motorol Enterprises Limited,Unlisted,Construction,10,0.04,https://wwipl.com/,,,,,
ATN International Ltd,Delisted,Financial Service,0,0.039,https://wwipl.com/,,,,,
Pretto Leather Industries Limited,Delisted,Leather Products,0,0.039,https://wwipl.com/,,,,,
Visu International Limited,Suspended,"IT, Software",0,0.038,https://wwipl.com/,,,,,
The Canara Sales Corporation Limited,Unlisted,Miscellaneous,1,0.037,https://wwipl.com/,,,,,
Arihant Threads Limited,Delisted,"Textiles, Yarn, Cotton & Spinning",0,0.036,https://wwipl.com/,,,,,
Modern Thread Ltd,Suspended,"Textiles, Yarn, Cotton & Spinning",0,0.035,https://wwipl.com/,,,,,
Ess Dee Aluminium Limited,Suspended,FMCG,0,0.032,https://wwipl.com/,,,,,
City Gold Credit Capital Limited,Illiquid/unquoted,Bank,0,0.032,https://wwipl.com/,,,,,
Avro Commercial Company Limited,Illiquid/unquoted,Financial Service,0,0.031,https://wwipl.com/,,,,,
Uniworth International Limited,Delisted,Retail,0,0.03,https://wwipl.com/,,,,,
Sita Shree Food Products Limited,Suspended,Food & Beverages,0,0.028,https://wwipl.com/,,,,,
Amar Remedies Limited,Delisted,FMCG,0,0.026,https://wwipl.com/,,,,,
DS Kulkarni Developers Limited,Suspended,Construction,0,0.026,https://wwipl.com/,,,,,
Five Core Electronics Limited,Suspended,Electricals,0,0.025,https://wwipl.com/,,,,,
Ponni Sugars Orissa Limited,Delisted,Sugar,0,0.025,https://wwipl.com/,,,,,
Bhuruka Gases Limited,Delisted,GAS,0,0.013,https://wwipl.com/,,,,,
Zenith Infotech Limited,Delisted,"IT, Software",0,0.013,https://wwipl.com/,,,,,
Anupama Steel Limited,Illiquid/unquoted,"Metal, Steel & Iron",0,0.01,https://wwipl.com/,,,,,
DD Ventures Limited,Illiquid/unquoted,Financial Service,0,0.009,https://wwipl.com/,,,,,
The Patna Electric Supply Co Limited,Illiquid/unquoted,Electric Equipment,0,0.005,https://wwipl.com/,,,,,
K2 Systems Limited,Illiquid/unquoted,"IT, Software",0,0.004,https://wwipl.com/,,,,,
Alacrity Electronics Limited,Delisted,Electronics,0,0.003,https://wwipl.com/,,,,,
Morning Glory Leasing And Finance Limited,Illiquid/unquoted,Financial Service,0,0.002,https://wwipl.com/,,,,,
Temple Leasing And Finance Limited,Illiquid/unquoted,Financial Service,0,0.002,https://wwipl.com/,,,,,
Shinewell Leasing Limited,Illiquid/unquoted,Real Estate,0,0.002,https://wwipl.com/,,,,,
Goalpost Industries Limited,Illiquid/unquoted,Leather Products,0,0.002,https://wwipl.com/,,,,,
Alirox Abrasives Limited,Illiquid/unquoted,Abrasives,0,0.002,https://wwipl.com/,,,,,
Champion Commercial Co Ltd,Illiquid/unquoted,Chemical,0,0.002,https://wwipl.com/,,,,,
Ayushman Infratech Limited,Illiquid/unquoted,Financial Service,0,0.002,https://wwipl.com/,,,,,
Mayurbhanj Trades And Agencies Limited,Illiquid/unquoted,Trading,0,0.002,https://wwipl.com/,,,,,
Soma Papers And Industries Limited,Delisted,Investment & Holding,0,0.001,https://wwipl.com/,,,,,
Mashaal Impex Limited,Illiquid/unquoted,Retail,0,0.001,https://wwipl.com/,,,,,
Shree Krishna Jute Products Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",0,0.001,https://wwipl.com/,,,,,
Buckingham Industries Limited,Illiquid/unquoted,Real Estate,0,0.001,https://wwipl.com/,,,,,
Nature India Communique Limited,Illiquid/unquoted,Service,0,0.001,https://wwipl.com/,,,,,
Supra Industrial Resources Limited,Illiquid/unquoted,Financial Service,0,0,https://wwipl.com/,,,,,
Efficient Industrial Finance Limited,Illiquid/unquoted,Financial Service,0,0,https://wwipl.com/,,,,,
Patback Business Limited,Illiquid/unquoted,Retail,0,0,https://wwipl.com/,,,,,
Chengmari Tea Company Limited,Unlisted,"Tea, Coffee & Plantation",0,0,https://wwipl.com/,,,,,
Five Star Business Finance Limited Unlisted Shares,,,520,,https://www.unlisteddeal.com/unlisted-share/,100,,,,
Oravel Stays Limited (OYO) Unlisted Shares,,,-,,https://www.unlisteddeal.com/unlisted-share/,1000,,,,
Tata Technologies Limited Unlisted Shares,,,-,,https://www.unlisteddeal.com/unlisted-share/,50,,,,
API Holdings Limited (PharmEasy) Unlisted Shares,,,Best in Industry,,https://www.unlisteddeal.com/unlisted-share/,1000,,,,
Hexaware Technologies Limited Unlisted Shares,,,Best In Industry,,https://www.unlisteddeal.com/unlisted-share/,100,,,,
HDB Financial Services Unlisted Shares,,,Best In Industry,,https://www.unlisteddeal.com/unlisted-share/,100,,,,
Fino Paytech Limited Unlisted Shares,,,Best in Industry,,https://www.unlisteddeal.com/unlisted-share/,100,,,,
Motilal Oswal (Erstwhile Aspire) Home Finance Limited Unlisted Shares,,,Best in Industry,,https://www.unlisteddeal.com/unlisted-share/,1000,,,,
Metropolitan Stock Exchange of India (MSEI) Limited Unlisted Shares,,,Best in Industry,,https://www.unlisteddeal.com/unlisted-share/,10000,,,,
Indian Commodity Exchange Limited (ICEX) Unlisted Shares,,,Best in Industry,,https://www.unlisteddeal.com/unlisted-share/,1000,,,,
Indian Commodity Exchange Limited (ICEX) Unlisted Shares,,,Best in Industry,,https://www.unlisteddeal.com/unlisted-share/,1000,,,,
Reliance Retail Limited Unlisted Shares,,,Best in Industry,,https://www.unlisteddeal.com/unlisted-share/,100,,,,
HDFC Securities Limited Unlisted Shares,,,Best in Industry,,https://www.unlisteddeal.com/unlisted-share/,10,,,,
Hero FinCorp Limited Unlisted Shares,,,Best in Industry,,https://www.unlisteddeal.com/unlisted-share/,100,,,,
Care (Religare) Health Insurance Limited Unlisted Shares,,,Best in Industry,,https://www.unlisteddeal.com/unlisted-share/,1000,,,,
Suryoday Small Finance Bank Limited Unlisted Shares,,,Best in Industry,,https://www.unlisteddeal.com/unlisted-share/,100,,,,
Nazara Technologies Limited Unlisted Shares,,,Best in Industry,,https://www.unlisteddeal.com/unlisted-share/,100,,,,
One97 Communications Limited- Paytm Unlisted Shares,,,Best in Industry,,https://www.unlisteddeal.com/unlisted-share/,10,,,,
Studds Accessories Limited Unlisted Shares,,,Best in Industry,,https://www.unlisteddeal.com/unlisted-share/,100,,,,
Chennai Super Kings Cricket Limited Unlisted Shares,,,Best in Industry,,https://www.unlisteddeal.com/unlisted-share/,2500,,,,
Kurlon Enterprise Limited Unlisted Shares,,,Best in Industry,,https://www.unlisteddeal.com/unlisted-share/,100,,,,
Utkarsh Coreinvest Limited Unlisted Shares,,,Best in Industry,,https://www.unlisteddeal.com/unlisted-share/,100,,,,
Tamilnad Mercantile Bank Limited Unlisted Shares,,,Best in Industry,,https://www.unlisteddeal.com/unlisted-share/,100,,,,
Kannur International Airport Limited Unlisted Shares,,,Best in Industry,,https://www.unlisteddeal.com/unlisted-share/,100,,,,
Cochin International Airport Limited Unlisted Shares,,,Best in Industry,,https://www.unlisteddeal.com/unlisted-share/,100,,,,
NCL Buildtek Limited Unlisted Shares,,,Best in Industry,,https://www.unlisteddeal.com/unlisted-share/,100,,,,
Sterlite Power Transmission Limited Unlisted Shares,,,Best in Industry,,https://www.unlisteddeal.com/unlisted-share/,500,,,,
Indofil Industries Limited Unlisted Shares,,,Best in Industry,,https://www.unlisteddeal.com/unlisted-share/,100,,,,
National Stock Exchange of India Limited Unlisted Shares,,,-,,https://www.unlisteddeal.com/unlisted-share/,2000,,,,
Mohan Meakin Limited Unlisted Shares,,,Best in Industry,,https://www.unlisteddeal.com/unlisted-share/,100,,,,
Carrier Airconditioning & Refrigeration Limited Unlisted Shares,,,Best in Industry,,https://www.unlisteddeal.com/unlisted-share/,100,,,,
Nayara Energy Limited (Formerly Essar oil) Unlisted Shares,,,Best in Industry,,https://www.unlisteddeal.com/unlisted-share/,100,,,,
Capital Small Finance Bank Limited Unlisted Shares,,,Best in Industry,,https://www.unlisteddeal.com/unlisted-share/,100,,,,
UTI AMC Limited Unlisted Shares,,,Best in Industry,,https://www.unlisteddeal.com/unlisted-share/,50,,,,
Atlas Copco (India) Limited,,Industrials - Machinery,5780,,https://rurashfin.com/unlisted-shares-list/,,35,,,
Axles India Ltd,,Auto Anciliary,190,,https://rurashfin.com/unlisted-shares-list/,,"1,170",,,
B9 Beverages Private Limited,,Brewery,805,,https://rurashfin.com/unlisted-shares-list/,,230,,,
Capgemini Technology Services India Limited,,IT & KPO,10900,,https://rurashfin.com/unlisted-shares-list/,,20,,,
Capital Small Finance Bank Limited,,Small Finance Bank,300,,https://rurashfin.com/unlisted-shares-list/,,560,,,
Care Health Insurance Limited (Erstwhile Religare Health Insurance Co. Ltd),,BFSI - Insurance,173,,https://rurashfin.com/unlisted-shares-list/,,"1,390",,,
Carrier Airconditioning & Refrigeration Ltd.,,Air Conditioner,287,,https://rurashfin.com/unlisted-shares-list/,,765,,,
Chennai Super Kings Cricket Limited,,IPL Team,165,,https://rurashfin.com/unlisted-shares-list/,,"1,220",,,
Cochin International Airport Limited,,Airport,186,,https://rurashfin.com/unlisted-shares-list/,,"1,055",,,
Digvijay Finlease Limited,,Finance,2400,,https://rurashfin.com/unlisted-shares-list/,,85,,,
Fino Paytech Limited,,Payment Bank,155,,https://rurashfin.com/unlisted-shares-list/,,"1,325",,,
Frick India Limited,,Refrigertor & Air Conditioner,4800,,https://rurashfin.com/unlisted-shares-list/,,40,,,
HDB Financial Services Limited,,NBFC,690,,https://rurashfin.com/unlisted-shares-list/,,325,,,
HDFC Securities Limited,,Stockbroking & Financial Services Intermediary,12100,,https://rurashfin.com/unlisted-shares-list/,,15,,,
Hero Fincorp Limited,,NBFC â Consumer Finance,1188,,https://rurashfin.com/unlisted-shares-list/,,275,,,
Hicks Thermometers (I) Ltd,,Digital Thermometer,2450,,https://rurashfin.com/unlisted-shares-list/,,80,,,
Indofil Industries Limited,,Agro Chemical,675,,https://rurashfin.com/unlisted-shares-list/,,285,,,
Kannur International Airport Limited,,Airport,106,,https://rurashfin.com/unlisted-shares-list/,,"1,800",,,
Kurlon Enterprise Limited,,Mattress,653,,https://rurashfin.com/unlisted-shares-list/,,305,,,
Kurlon Limited,,Mattress,585,,https://rurashfin.com/unlisted-shares-list/,,340,,,
Merino Industries Limited,,Laminates,2936,,https://rurashfin.com/unlisted-shares-list/,,70,,,
Metropolitan Stock Exchange Of India Limited,,Exchange,1,,https://rurashfin.com/unlisted-shares-list/,,"1,80,180",,,
Mil Industries Limited,,Abrasive Rubber Inds,160,,https://rurashfin.com/unlisted-shares-list/,,"1,250",,,
Mohan Meakin Limited,,"Manufacturing alcoholic beverages, food processing",1650,,https://rurashfin.com/unlisted-shares-list/,,165,,,
Mohindra Fasteners Limited,,Auto Anciliary,180,,https://rurashfin.com/unlisted-shares-list/,,"1,110",,,
Motilal Oswal Home Finance Limited,,Housing Finance,10,,https://rurashfin.com/unlisted-shares-list/,,"16,805",,,
National Stock Exchange Of India Ltd,,Exchange,3020,,https://rurashfin.com/unlisted-shares-list/,,"1,000",,,
NCL Buildtek LimitedÂ,,Manufacturing - Building Material,238,,https://rurashfin.com/unlisted-shares-list/,,"1,040",,,
NCL Holdings (A&S) LimitedÂ,,Investment Company,72,,https://rurashfin.com/unlisted-shares-list/,,"4,000",,,
One 97 Communications Limited,,Payment Bank,0,,https://rurashfin.com/unlisted-shares-list/,,0,,,
Philips India Limited,,Lighting & Electrical,965,,https://rurashfin.com/unlisted-shares-list/,,205,,,
Reliance Retail Limited,,Retail,,,https://rurashfin.com/unlisted-shares-list/,,65,,,
Sterlite Power Transmission Limited,,Power,630,,https://rurashfin.com/unlisted-shares-list/,,220,,,
Studds Accessories Limited,,Manufacturing: Rubber and plastic products,910,,https://rurashfin.com/unlisted-shares-list/,,165,,,
Tamilnad Mercantile Bank Limited,,Banking,542,,https://rurashfin.com/unlisted-shares-list/,,370,,,
Tata Technologies Limited,,IT,930,,https://rurashfin.com/unlisted-shares-list/,,40,,,
Utkarsh Coreinvest Limited,,Small Finance Bank,195,,https://rurashfin.com/unlisted-shares-list/,,"1,025",,,
Xerox India Limited,,Machinery,205,,https://rurashfin.com/unlisted-shares-list/,,975,,,
Anugraha Valve Castings Unlisted Shares,,Castings,₹ 300,,https://buysellunlistedshares.com/,,,INE629Z01015,Strong fundamentals,
ACS Technologies Unlisted Shares,,IT,₹ 44,,https://buysellunlistedshares.com/,,,INE07ZN01014,IPO soon,
API Holdings (PharmEasy),,e-pharmacy,₹ 12,,https://buysellunlistedshares.com/,,,INE0DJ201029,IPO soon. Best startup fintech,
Arohan Financial Services Unlisted Shares,,NBFC MFI,₹ 140,,https://buysellunlistedshares.com/,,,INE808K01017,IPO soon,
B9 Beverages (Bira 91) Unlisted Shares,,Liquor,₹ 650,,https://buysellunlistedshares.com/,,,INE833U01014,Strong brand value,
Mayasheel Retail India Unlisted Shares,,Retail,₹ 36,,https://buysellunlistedshares.com/,,,INE03NO01017,Fast growing retail company,
Bharat Nidhi (Bharat Bank) Unlisted Shares,,NBFC - holding co,"₹ 11,000",,https://buysellunlistedshares.com/,,,INE286F01016,Holding stake in Times Group,
BLSX Limited Unlisted Shares,,Heavy engineering,₹ 22,,https://buysellunlistedshares.com/,,,INE0MDG01016,,
boAt (Imagine Marketing) Unlisted Shares,,cons electronics,₹ 925,,https://buysellunlistedshares.com/,,,INE03AV01027,IPO soon,
BVG India (Bharat Vikas Group) Unlisted Shares,,Integrated Serv Co,"₹ 1,000",,https://buysellunlistedshares.com/,,,INE257H01013,IPO soon,
Bharat Hotels Unlisted Shares,,Hotels,₹ 150,,https://buysellunlistedshares.com/,,,INE466A01015,Operates Lalit chain of hotels + IPO soon,
Capital Small Finance Bank Unlisted Shares,,Small Fin Bank,₹ 425,,https://buysellunlistedshares.com/,,,INE646H01017,IPO soon,
Care Health Insurance Unlisted Shares,,Health Insurance,₹ 180,,https://buysellunlistedshares.com/,,,INE119J01011,Health insurance company,
Carrier AirCon Refrigeration Unlisted Shares,,Air-conditioning,₹ 300,,https://buysellunlistedshares.com/,,,INE040I01011,"Debt free, high dividend yield",
Chennai Super Kings (CSK) Unlisted Shares,,Cricket team,₹ 175,,https://buysellunlistedshares.com/,,,INE852S01026,"IPL Franchise, brand value",
Cochin International Airport Unlisted Shares,,Airport,₹ 190,,https://buysellunlistedshares.com/,,,INE02KH01019,PPP profitable infra company,
Desi Tea Time Unlisted Shares,,Foods & Bev,₹ 48 - 50,,https://buysellunlistedshares.com/,,,,,
ESDS Software Solution Unlisted Shares,,Cloud solutions,₹ 235,,https://buysellunlistedshares.com/,,,INE0DRI01011,IPO soon,
ESL Steel Unlisted  Shares,,Steel,₹ 31,,https://buysellunlistedshares.com/,,,INE481K01021,Vedanta group. Strong financials,
FINO PayTech Unlisted Shares,,Payments bank,₹ 150,,https://buysellunlistedshares.com/,,,INE511I01011,Financial inclusion boost,
Frick India Unlisted Shares,,Ind Refrigeration,₹ 6750,,https://buysellunlistedshares.com/,,,INE499C01012,"Undervalued stock, land bank",
